t,T
285,38.55381377714053
286,38.42982369376804
287,38.455764242319354
288,38.510691500099426
289,38.449703724108275
290,38.390681691470576
291,38.51372000588728
292,38.51599568024285
293,38.468830981422414
294,38.54500000290185
295,38.450092357252345
296,38.41896206588013
297,38.484534391222745
298,38.410223171475316
299,38.40624378742821
