t	xa	ya	va	ωa	xb	yb	vb	ωb	
0,900	0,166	0,318	0,200	-25,3	0,131	0,291	7,207E-2	-6,1
0,917	0,167	0,315	0,197	-25,0	0,131	0,290	7,095E-2	-6,2
0,933	0,168	0,312	0,212	-26,6	0,131	0,289	7,038E-2	-6,5
0,950	0,170	0,309	0,214	-28,0	0,131	0,288	7,016E-2	-6,9
0,967	0,171	0,306	0,196	-25,4	0,131	0,287	6,948E-2	-7,1
0,983	0,173	0,303	0,202	-27,0	0,131	0,286	7,251E-2	-9,8
1,000	0,174	0,300	0,202	-27,0	0,132	0,284	6,884E-2	-10,8
1,017	0,175	0,297	0,197	-25,7	0,133	0,284	6,418E-2	-10,4
1,033	0,177	0,294	0,201	-27,8	0,133	0,283	7,150E-2	-11,7
1,050	0,178	0,291	0,199	-27,5	0,134	0,282	8,037E-2	-13,6
1,067	0,179	0,288	0,193	-25,5	0,135	0,281	8,274E-2	-14,7
1,083	0,180	0,285	0,205	-28,7	0,136	0,280	7,639E-2	-13,5
1,100	0,182	0,281	0,210	-30,4	0,137	0,279	8,394E-2	-15,0
1,117	0,183	0,278	0,206	-30,9	0,138	0,278	9,074E-2	-16,5
1,133	0,185	0,275	0,207	-30,5	0,140	0,277	9,316E-2	-17,2
1,150	0,186	0,272	0,197	-28,1	0,141	0,277	9,663E-2	-17,8
1,167	0,188	0,269	0,202	-30,4	0,142	0,276	9,826E-2	-18,1
1,183	0,189	0,266	0,202	-30,3	0,144	0,275	0,111	-20,5
1,200	0,190	0,263	0,193	-28,2	0,146	0,274	0,120	-22,2
1,217	0,191	0,260	0,208	-32,0	0,147	0,273	0,125	-23,0
1,233	0,193	0,257	0,210	-33,4	0,149	0,272	0,132	-24,2
1,250	0,194	0,254	0,196	-31,3	0,151	0,271	0,132	-24,3
1,267	0,196	0,251	0,203	-32,9	0,153	0,271	0,143	-26,2
1,283	0,197	0,247	0,201	-32,3	0,156	0,269	0,156	-28,6
1,300	0,199	0,245	0,191	-30,4	0,158	0,268	0,160	-29,2
1,317	0,200	0,242	0,206	-33,9	0,161	0,267	0,168	-30,5
1,333	0,201	0,238	0,202	-32,9	0,163	0,266	0,175	-31,9
1,350	0,202	0,235	0,185	-30,0	0,166	0,265	0,178	-32,5
1,367	0,204	0,233	0,205	-35,0	0,169	0,264	0,181	-32,9
1,383	0,205	0,229	0,212	-36,4	0,171	0,262	0,183	-33,4
1,400	0,207	0,226	0,199	-34,0	0,174	0,261	0,186	-33,8
1,417	0,208	0,223	0,197	-34,5	0,177	0,259	0,189	-34,3
1,433	0,209	0,220	0,198	-34,7	0,180	0,258	0,201	-36,3
1,450	0,211	0,217	0,193	-33,5	0,183	0,256	0,206	-37,1
1,467	0,212	0,214	0,204	-36,3	0,186	0,255	0,204	-36,7
1,483	0,213	0,211	0,211	-38,0	0,189	0,253	0,213	-38,4
1,500	0,215	0,208	0,200	-36,1	0,192	0,251	0,221	-39,8
1,517	0,216	0,205	0,202	-37,0	0,195	0,249	0,223	-40,1
1,533	0,218	0,202	0,199	-36,4	0,198	0,247	0,229	-41,1
1,550	0,219	0,199	0,193	-35,2	0,202	0,245	0,234	-42,1
1,567	0,220	0,196	0,196	-36,5	0,205	0,243	0,242	-43,3
1,583	0,222	0,193	0,198	-36,8	0,208	0,241	0,249	-44,7
1,600	0,223	0,190	0,197	-36,4	0,212	0,238	0,258	-46,2
1,617	0,224	0,187	0,198	-37,3	0,215	0,236	0,263	-46,9
1,633	0,225	0,184	0,196	-36,8	0,219	0,233	0,261	-46,7
1,650	0,226	0,181	0,193	-36,1	0,222	0,230	0,265	-47,5
1,667	0,228	0,178	0,195	-37,5	0,225	0,227	0,274	-48,9
1,683	0,229	0,175	0,198	-38,2	0,229	0,224	0,273	-48,5
1,700	0,230	0,172	0,195	-37,3	0,232	0,222	0,266	-47,3
1,717	0,231	0,169	0,195	-37,8	0,236	0,218	0,271	-48,2
1,733	0,233	0,166	0,197	-38,5	0,239	0,215	0,279	-49,4
1,750	0,234	0,163	0,194	-38,0	0,243	0,212	0,283	-50,1
1,767	0,235	0,160	0,192	-38,0	0,246	0,209	0,287	-50,9
1,783	0,236	0,157	0,189	-37,4	0,249	0,205	0,292	-51,6
1,800	0,237	0,154	0,193	-38,4	0,253	0,202	0,296	-52,3
1,817	0,239	0,151	0,198	-39,3	0,256	0,198	0,300	-52,9
1,833	0,240	0,148	0,186	-37,2	0,259	0,194	0,307	-54,2
1,850	0,241	0,145	0,182	-36,9	0,263	0,190	0,312	-55,0
1,867	0,242	0,142	0,192	-38,9	0,266	0,186	0,311	-54,9
1,883	0,243	0,139	0,192	-38,7	0,269	0,182	0,311	-54,7
1,900	0,244	0,136	0,182	-37,0	0,272	0,178	0,306	-53,8
1,917	0,246	0,133	0,177	-36,1	0,275	0,174	0,307	-53,8
1,933	0,247	0,131	0,175	-35,8	0,278	0,170	0,307	-53,8
1,950	0,248	0,128	0,181	-37,2	0,281	0,166	0,303	-53,0
1,967	0,249	0,125	0,191	-39,1	0,284	0,162	0,313	-54,9
1,983	0,250	0,122	0,192	-39,3	0,287	0,157	0,314	-55,0
2,000	0,252	0,119	0,185	-37,9	0,289	0,153	0,308	-53,9
2,017	0,253	0,116	0,183	-37,6	0,292	0,148	0,310	-54,2
2,033	0,254	0,114	0,179	-36,9	0,294	0,144	0,310	-54,3
2,050	0,255	0,111	0,179	-36,7	0,297	0,139	0,312	-54,4
2,067	0,257	0,108	0,188	-38,8	0,299	0,134	0,311	-54,3
2,083	0,258	0,105	0,186	-38,2	0,301	0,130	0,314	-54,7
2,100	0,259	0,102	0,182	-37,4	0,304	0,125	0,312	-54,4
2,117	0,260	9,959E-2	0,183	-37,7	0,306	0,120	0,314	-54,5
2,133	0,261	9,680E-2	0,180	-37,1	0,308	0,115	0,316	-55,0
2,150	0,262	9,408E-2	0,179	-36,8	0,310	0,111	0,310	-53,9
2,167	0,264	9,134E-2	0,175	-35,8	0,312	0,106	0,308	-53,5
2,183	0,265	8,877E-2	0,177	-36,0	0,314	0,101	0,310	-53,9
2,200	0,266	8,604E-2	0,186	-37,9	0,316	9,615E-2	0,308	-53,5
2,217	0,267	8,310E-2	0,186	-37,9	0,317	9,133E-2	0,317	-54,9
2,233	0,269	8,030E-2	0,180	-36,6	0,319	8,612E-2	0,310	-53,7
2,250	0,270	7,759E-2	0,180	-36,4	0,320	8,155E-2	0,300	-52,0
2,267	0,271	7,481E-2	0,182	-36,7	0,322	7,651E-2	0,298	-51,7
2,283	0,272	7,202E-2	0,179	-36,1	0,323	7,188E-2	0,306	-52,9
2,300	0,273	6,931E-2	0,177	-35,5	0,324	6,664E-2	0,319	-55,1
2,317	0,275	6,662E-2	0,176	-35,1	0,325	6,158E-2	0,302	-52,3
2,333	0,276	6,397E-2	0,176	-34,9	0,326	5,677E-2	0,293	-50,8
2,350	0,277	6,131E-2	0,184	-36,4	0,327	5,194E-2	0,299	-51,7
2,367	0,278	5,838E-2	0,186	-36,8	0,328	4,693E-2	0,294	-50,8
2,383	0,279	5,557E-2	0,180	-35,5	0,328	4,225E-2	0,287	-49,6
2,400	0,281	5,285E-2			0,329	3,746E-2		
